Company Name,Address,Latitude,Longitude,Google Maps Link
"Sri Energy Valves Pvt Ltd","SF.No.115/4A Vadugapatti Village, Illupur Taluk Viralimalai Pudukottai District",10.3826515,78.8191259,https://www.google.com/maps?q=10.3826515,78.8191259
"Lionbridge Technologies Pvt. Ltd","International Tech Park,Crest 7th Floor Unit Nos. 1 & 2, Phase II Taramani Road,Taramani",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Moldwell Products India Pvt Ltd","No.61/3, Thudiyalur Main Road Sarkarsamakulam, Off-Sathy Road Kovilpalayam",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"VIT University","Chennai Campus Vandalur - Kelambakkam Road",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Terex India Private Limited","Plot No E-18 Phase II, Expansion-II SIPCOT Industrial Complex",12.7183361,77.8229481,https://www.google.com/maps?q=12.7183361,77.8229481
"Electromags","342/343, 2nd Cross Nehru Nagar Kottivakkam",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Toshiba JSW Power Systems Pvt. Ltd","S.NO. 74 - 95 ,Vaikkadu Village Andarkuppam Check Post, Manali New Town",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Matrix Engineering solutions","No 15-C, Avinashi Road, thottipalayam pirivu, Civil aerodrome post",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Agile Electric Subassembly Private Limited","A33 & A36, Phase I, MEPZ -SEZ, Tambaram",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Ravilla Aerospace Industries Private Limited","No:48, Aerodrome Road Singanallur",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Funskool (India) Ltd","Tarapore Towers, 6th Floor 826 Anna Salai",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"SPINKS SOFTECH PVT. LIMITED","G40 Sipcot Industrial Estate Vallam Vadagal,Sriperumbudur Taluk,Kanchipuram(DT)",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"GGS Information Services India Private Limited","ASV Titanium Bldg, 3rd Flr Old #26 New #2, Facit Ave Kandanchavadi Off. MGR Rd Near to IIFL",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Samvardhana Motherson Innovative Solutions Ltd","R.S.NO.15/1/2&3 Thirubuvanai Village Mannadipet Commune",12.1077297,79.9094301,https://www.google.com/maps?q=12.1077297,79.9094301
