,,,,,,,,
S.No,Hall Name ,Stall Name,Company Name ,Parent Company Name ,Register Type ,Country ,Company  Logo,Address
30,Hall H,HR2.3,Aero A2Z Services Private Limited,--,Exhibitor,India,Picture,"S/o Sh. R.C. Batra A-15/3, Ground Floor, Vasant Vihar, New Delhi, Delhi, India - 110057"
31,Hall B,BS5.1,Ananya Technologies Private Limited,--,Exhibitor,India,Picture,"No 7, Trans Industrial Hub, 5th Main Rd, Phase 3, Peenya, Bengaluru, Karnataka 560058"
32,Hall D,DR3,BrahMos Aerospace,--,Exhibitor,India,Picture,"FWV6+7P8 Chackai Beach, Airport Road, PO, Thiruvananthapuram, Kerala 695007"
33,Hall C,CR5.6,SOUTHERN ELECTRONICS BANGALORE PRIVATE LIMITED,--,Exhibitor,India,Picture,"16-A, Phase -1, Peenya, Bengaluru, Karnataka 560022"
34,Hall A,AS2.1,JSC IT Concepts India Pvt Ltd,--,Exhibitor,India,Picture,"B- 216, First Floor, Okhla, Phase 1, Okhla Industrial Area Phase-i, New Delhi, Delhi, India, 110020"
35,Hall B,BS5.25,Carris Pipes and Tubes Private Limited,--,Exhibitor,India,Picture,"5G82+FQX, P.B. No.2, Keezhillam - Kurichilacode Rd, P.O, Akanad, Koovappady, Aimury, Kerala 683546"
36,Hall A,AR8.4,RECAERO,--,Exhibitor,India,Picture,"Universal Precision Screws NH-10, Kharawar By Pass, VPO Kharawarr, Rohtak - Delhi Rd, Rohtak, Haryana 124501"
37,Hall K,KR4.5,UNIVERSAL PRECISION SCREWS,--,Exhibitor,India,Picture,"Universal Precision Screws NH-10, Kharawar By Pass, VPO Kharawarr, Rohtak - Delhi Rd, Rohtak, Haryana 124501"
38,"Hall C, Hall C, Hall C, Hall C, Hall C, Hall C","CR7.1, CR7.2, CR7.3, CR7.4, CR7.5, CR7.6",Adani Defence Systems and Technologies Limited,--,Exhibitor,India,Picture,"7F56+MX6, Pahadi Shareef, Hyderabad, Telangana 500005"
39,Hall A,AS2.7,Sanpar Defence Systems Private Limited,--,Exhibitor,India,Picture,"KSSIDC Industrial Estate, No.5, 2nd Cross Rd, Bommasandra Industrial Area, Bommasandra, Karnataka 560099"
40,"Hall B, Hall B","BS5.27, BS5.26",Cogne Acciai Speciali SpA,--,Exhibitor,Foreign,Picture,"Via Paravera, 16, 11100 Aosta AO, Italy"
41,Hall B,BS5.10,SANGHVI AEROSPACE PVT. LTD.,--,Exhibitor,India,Picture,"Survey No. 212, Lalit Warehouse, B/H, Narol - Sarkhej Rd, nr. Cozy hotel, Narolgam, Ahmedabad, Gujarat 382405"
42,Hall K,KS3.4,AERX LABS INDIA PVT LTD,--,Exhibitor,India,Picture,"#611, 1st Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102"
