,,,,,,,,
S.No,Hall Name ,Stall Name,Company Name ,Parent Company Name ,Register Type ,Country ,Company  Logo,Address
131,Hall K,KS1.4,MANIT CONSOLIDATED SERVICES,--,Exhibitor,India,Picture,"114, Prabhat Colony Rd, Sen Nagar, Santacruz East, Mumbai, Maharashtra 400055"
132,Hall J,JS4.6,"Adept Fasteners, Inc.",--,Exhibitor,Foreign,Picture,"27949 Hancock Parkway, Valencia, CA 91355, United States"
133,Hall B,BS5.6,RATNAMANI METALS AND TUBES LTD,--,Exhibitor,India,Picture,"4-2-243, Old Bhoiguda, Rani Gunj, Secunderabad, Telangana 500003"
134,Hall K,KR4.3,VEER-O-METALS PRIVATE LIMITED,--,Exhibitor,India,Picture," A-02, BEL Industrial Estate, Jalahalli, Bengaluru, Karnataka 560013"
135,Hall F,FS1.2,BEVEL GEARS INDIA PVT LTD,--,Exhibitor,India,Picture,"17 - B, Whitefield Main Rd, Sadara Mangala Industrial Area, Sadaramangala Industrial Area, Krishnarajapuram, Bengaluru, Karnataka 560048"
136,Hall G,GS1.4,HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE (Non-Member),--,Exhibitor,India,Picture,"Rajiv Gandhi Salai, OMR, Padur, Kelambakkam, Tamil Nadu 603103"
137,Hall A,AS3.7,KAPASI-INC BANGALORE-INDIA,--,Exhibitor,India,Picture," No.83, 1st Main Road, New Binny Layout, (Opp. Balekai Mandi), Tank Bund Road, Bengaluru, Karnataka 560023"
138,Hall B,BS5.28,TheAccesories,--,Exhibitor,India,Picture,"L-15, Ward No 89, Block E, Next Galleria Mall, Punjagutta, Hyderabad-82"
139,Hall H,HR1.6,Sunflag Iron steel co Ltd,--,Exhibitor,India,Picture,"33 Mount Road, Sadar, Nagpur - 440001, India"
140,Hall A,AS3.10,Hyperreality Technologies Pvt Ltd,--,Exhibitor,India,Picture,"#W-205, IIIT-Bangalore, Innovation Centre, 26/C, Electronics City, Hosur Road, Bangalore, Karnataka, India - 560100"
141,Hall H,HR1.3,MRF LIMITED,--,Exhibitor,India,Picture,"No. 114, Greams Road, Chennai, Tamil Nadu, 600006"
142,Hall A,AS1.13,BOLLHOFF FASTENINGS PVT LTD,--,Exhibitor,India,Picture,"Plot No 370, Udyog Vihar Phase IV, Rao Gajraj Singh Marg, Electronic City, IDPL Twp, Sector 22A, Sector 18, Gurugram, Haryana 122015"
143,Hall F,FS1.12,TARGET AERO PRIVATE LIMITED,--,Exhibitor,India,Picture," F-17/89, Sector – 8 Rohini, New Delhi, Delhi 110085"
144,Hall F,FS3.2,Circor Flow Technologies India Pvt Ltd,--,Exhibitor,India,Picture,"SF No. 337/2, No.15 Naranapuram Village, Thennampalayam to Annur Road, Ponnandampalayam, Coimbatore, Tamil Nadu 641659"
145,Hall C,CS3.3,M/S ACCORD SOFTWARE ANDSYSTEMS PRIVATE LIMITED,--,Exhibitor,India,Picture,"No. 72 & 73, 2nd Floor, Krishna Reddy Colony, Domlur Layout, Bangalore, Karnataka, India, 560071"
146,Hall J,JR5.6,Liebherr-Aerospace & Transportation SAS,--,Exhibitor,Foreign,Picture,Liebherr-Aerospace & Transportation SAS
147,Hall G,GR5.2C,HIMIL UWAVE RESEARCHCO PVT LTD,--,Exhibitor,India,Picture,"39/1, 1st Main Road, New Timber Yard Layout, Near Satellite Bus Stand, Mysore Road Cross, Bangalore, Karnataka - 560026, India. "
148,"CHALET, Hall J","CHALET.35, JR5.1C",Rosoboronexport JSC,--,Exhibitor,Foreign,Picture,"27, Stromynka Street, Moscow, 107076, Russian Federation"
149,Hall C,CS3.9,DYNAMIXON TECHNOLOGIES PRIVATE LIMITED,--,Exhibitor,India,Picture," 1st Floor, No.1, AAC 206 East of NGEF Extn, 2nd Main Rd, Kasturi Nagar, Bengaluru, Karnataka 560043"
150,Hall H,HR2.5b,Pawan Hans Limited,--,Exhibitor,India,Picture,"Pawan Hans Tower, C-14, Sector-1, Noida - 201301, Uttar Pradesh, India. "
151,Hall J,JR2.1B,Dhaksha Unmanned Systems Private Limited,--,Exhibitor,India,Picture," No. 253, 10th Street, Sidco Industrial Estate, Ambattur, Chennai – 600 098. "
152,Hall C,CS2.4,Central Manufacturing Technology Institute,--,Exhibitor,India,Picture,"Tumkur Rd, Yeshwanthpur Industrial Area, Phase 1, Yeswanthpur, Bengaluru, Karnataka 560022"
153,Hall A,AS1.4,Trasccon Interconnection Systems Pvt LTD,--,Exhibitor,India,Picture," Aarohana 19/3, 1st and 2nd Floor, Srinivasa Industrial Estate, Kanakapura Main Rd, behind RMS International School & PU college, Mango Garden Layout, Konanakunte, Bengaluru, Karnataka 560062"
154,Hall H,HR5.3,The Boeing Company,--,Exhibitor,Foreign,Picture,"Arlington, Virginia, near Washington, D.C"
155,Hall A,AS2.2,Reutech India Private Limited,--,Exhibitor,India,Picture,"S-3, 1st Floor, Block C, Green Park Extension, Green Park, New Delhi, Delhi 110016"
156,Hall H,HS4.2,Accurate Gauging and Instruments Pvt Ltd,--,Exhibitor,India,Picture,"67 Gauge House, Hadapsar Industrial Estate, Pune, Maharashtra 411013"
157,Hall F,FS1.1,Paras wires private limited,--,Exhibitor,India,Picture,"Plot 17q , Sector1, Phase 2, KIADB Industrial Area Bidadi, Industrial Estate, Bengaluru, Karnataka 562109"
158,Hall H,HR2.1,Godrej & Boyce Mfg. Co. Ltd.,--,Exhibitor,India,Picture,"Pirojshanagar, Vikhroli, Mumbai - 400079, India"
159,Hall C,CS1.4,Crouzet Mechatronics India Private Limited,--,Exhibitor,India,Picture,"Ist Floor, K.H.B, 46, Yelahanka 4th Phase, INDUSTRIAL AREA, Yelahanka New Town, Bengaluru, Karnataka 560064"
160,Hall A,AS2.11,Park Controls and Communications Private Limited,--,Exhibitor,India,Picture,"2716, Suranjan Das Rd Rd, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru, Karnataka 560075"
161,Hall G,GS1.6,Apollo Aerospace Components India Pvt Ltd,--,Exhibitor,India,Picture,"No 405 , 3rd Floor, Prestige Atrium, No1, Central St, Shivaji Nagar, Bengaluru, Karnataka 560001"
162,Hall H,HS3.3,DeltaT Aerospace Private Limited,--,Exhibitor,India,Picture,"Phase 3, Peenya, Bengaluru, Karnataka 560058"
163,Hall C,CR5.2,CoreEL Technologies India Private Limited,--,Exhibitor,India,Picture,"21, Mahatyagi Laksmidevi Rd, Koramangala 1A Block, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034"
164,"Hall F, Hall F, Hall F, Hall F, Hall F, Hall F","FR5.2, FR5.1, FR5.3, FR5.4, FR5.5, FR5.6",TamilNadu Industrial Development Corporation Limited,--,Exhibitor,India,Picture,"19-A, Rukmani Lakshmipathi Rd, Egmore, Chennai, Tamil Nadu 600008"
165,Hall E,ER5.2,DGAQA MoD DDP,--,Exhibitor,India,Picture," 136, South Block, New Delhi"
166,Hall B,BR2.2b,AZISTA INDUSTRIES PVT LTD,--,Exhibitor,India,Picture,"4th Floor, C Wing, Melange Tower, near Ratnadeep Super Market, HUDA Techno Enclave, Madhapur, Hyderabad, Telangana 500081"
167,Hall H,HS3.7,Datasol Bangalore Private Ltd,--,Exhibitor,India,Picture,"No 793, Datasol Hose, Veeranna Paalya, behind BEL Corporate Office, Nagawara, Bengaluru, Karnataka 560045"
168,Hall F,FS1.4,AXON INTERCONNECTORS AND WIRES,--,Exhibitor,India,Picture," B, Marenahalli, B.Marenahalli, Bhatramarenahalli, Karnataka 562165"
169,Hall J,JR5.7B,PCI Gases India Pvt Ltd,--,Exhibitor,India,Picture,"787, Ground Floor 9th A Main, 1st Stage, Binnamangala, Ind iranagar , Bengaluru, Karnataka, India - 560038"
170,"Hall C, Hall C","CS2.6, CS2.7",Avdel India Private Limited,--,Exhibitor,India,Picture,"17-2-628/13, Madannapet, Saidabad, Hyderabad, 500059"
171,Hall C,CS3.2,Accord Ideation Private Limited,--,Exhibitor,India,Picture,"Plot 26, 8-2-248/1/7/26/2, Mothi Nagar, Nagarjuna Hills, Punjagutta, Hyderabad, Telangana 500082"
172,Hall J,JR2.6,elettronica aster spa,--,Exhibitor,Foreign,Picture,"Via Longoni, 110, 20825 Barlassina MB, Italy"
173,Hall G,GS1.5,VINYAS INNOVATIVE TECHNOLOGIES LIMITED,--,Exhibitor,India,Picture,"KIADB Plot No. 19, Survey No. 26 & 273P 3rd Phase, Koorgalli Industrial, Mysuru, Karnataka 570018"
174,Hall H,HR2.5a,SAARC Masts Tech Pvt Ltd,--,Exhibitor,India,Picture,"31/A, 31/A, Sri Sri Sri Shivakumara Swamiji Rd, Kammagondahalli, Jalahalli, Bengaluru, Karnataka 560090"
175,Hall H,HR2.4,Bit Mapper Integration Technologies Pvt Ltd,--,Exhibitor,India,Picture,"Shewale Ctr Rd, MIDC, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018"
176,"Hall E, Hall E","ER3.3, ER3.4",Armoured Vehicles Nigam Limited,--,Exhibitor,India,Picture,"C/o Armoured Vehicles Headquarters, HVF Road, Bhaktavatsalapuram, Avadi, Chennai, Tamil Nadu 600054, India. "
177,Hall G,GS4.1,AARJAY INTERNATIONAL PRIVATE LIMITED,--,Exhibitor,India,Picture," 948B, 9th Main Rd, off Bannerghatta Road, Vijaya Bank Layout, Bilekahalli, Bengaluru, Karnataka 560076"
178,Hall H,HS3.1,Stein Seal Company (India) Pvt. Ltd.,--,Exhibitor,India,Picture,"Sy. No. 11, Lakshmanapura Village (Next to Sompura Industrial Area 2nd Stage Thyamagondlu Hobli, Nelamangala Town, Bengaluru, Karnataka 562132"
179,Hall A,AS2.6,Misochain Technologies Private Limited,--,Exhibitor,India,Picture,"7th Sector, HSR Layout, Bengaluru, Karnataka 560102"
180,Hall K,KS2.4,Exicom Technologies India Private Limited,--,Exhibitor,India,Picture,"B-2, 1st Floor, R S Industrial Estate, Goregaon East, Mumbai, Maharashtra, India - 400063. "
181,Hall F,FS4.7,Siddhartha Logistics FTWZ Pvt Ltd,--,Exhibitor,India,Picture,"1, Chikoti Gardens, Begumpet, Hyderabad, Telangana 500016"
182,Hall C,CR6.1,Apollo Micro Systems Ltd,--,Exhibitor,India,Picture,"14 15 1920, Manikchand Rd, HCL Nagar, Mallapur, Secunderabad, Telangana 500076"
183,"Hall A, Hall A","AS1.6, AS1.5",AKSI AI AEROSPACE AND AGRI TECHNOLOGY VENTURES PRIVATE LIMITED,--,Exhibitor,India,Picture,"Plot No 5-9-471/3/16P, 101, Sai Krishna Enclave PH 3, Jawahar Nagar, Tirumalagiri, Hyderabad, Telangana, 500087, India"
184,Hall C,CS2.8,Nicomatic India Electronics Pvt Ltd,--,Exhibitor,India,Picture,"5P25+JF, Rd Number 8, Mahadeva Kodigehalli, Bengaluru, Karnataka 562149"
185,Hall H,HR5.1,Vista Consoles Electronics Pvt Ltd,--,Exhibitor,India,Picture," 103, Block B, Sector 67, Noida, Uttar Pradesh 201309"
186,Hall C,CS2.3,Vimanic Systems I Pvt Ltd,--,Exhibitor,India,Picture,"729/B, II MAIN ROAD, SRI. K.B. MUNIVENKATA REDDY TOWNSHIP, KONENA AGRAHARA, VARTHUR HOBLI, BANGALORE, Karnataka, India, 560017"
187,"Hall F, Hall F","FS3.11, FS3.12",Strongfield Technologies India Private Limited,--,Exhibitor,India,Picture,"Unit No: 505-506, 5th Floor, B Wing, Mittal Towers, MG Road, Bangalore, Karnataka - 560001, India. "
188,Hall H,HS4.8,Indian Institute of Management Bangalore,--,Exhibitor,India,Picture,"Bannerghatta Rd, opp. to Apollo Hospitals, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076"
189,Hall H,HS4.3,ZOSH AEROSPACE OPC PRIVATED LIMITED,--,Exhibitor,India,Picture," Alay Arcade, 80 Feet Road, 7th Block, HMT Layout, Vidyaranyapura, Bengaluru, Karnataka 560097"
190,Hall B,BS5.3,Axnes AS,--,Exhibitor,Foreign,Picture,"Reddalsveien 57, 4886 Grimstad, Norway"
191,Hall E,ER5.4,Gliders India Limited,--,Exhibitor,India,Picture,"GT Rd, DRDO Kanpur, Kanpur, Uttar Pradesh 208013"
192,Hall H,HR2.2,Ramco Systems Ltd,--,Exhibitor,India,Picture,"201, 1-10-98/A, Saptagiri Residency, Chikoti K Gardens, Begumpet, Begumpet, Hyderabad, 500016"
193,Hall F,FS1.3,System Controls Technology Solutions Pvt Ltd,--,Exhibitor,India,Picture,"#65&66P, Hi-Tech Defence and Aerospace Industrial Area, Bengaluru-562129"
194,Hall C,CS1.9,DYNAFORCE TACTICAL PRIVATE LIMITED,--,Exhibitor,India,Picture,"H.NO S-364, Basement, Back Portion, Panchsheel Park, Malviya Nagar, New Delhi, Delhi, India, 110017. "
195,Hall K,KS2.8,AdTEC ELECTRONIC INSTRUMENTS PRIVATE LIMITED,--,Exhibitor,India,Picture,"Prerana Towers, 563/1, Ranka Colony Rd, off Bannerghatta Road, BTM 2nd Stage, Bilekahalli, Bengaluru, Karnataka 560076"
196,Hall K,KR4.8C,Swastik Oil Products Manufacturing Navsari Pvt Ltd,--,Exhibitor,India,Picture,"Plot 251, Khadsupa Boarding PO, Unn, Gujarat 396433"
197,Hall H,HR1.7,Capgemini Technology Services India Ltd,--,Exhibitor,India,Picture," 14, Rajiv Gandhi Infotech Park, Hinjawadi Phase-III, MIDC-SEZ, Village Man, Taluka Mulshi, PUNE-411 057, INDIA."
198,CHALET,CHALET.33,Exposure Group Pty Ltd,--,Exhibitor,Foreign,Picture,"23 Foundry Rd, Seven Hills NSW 2147, Australia"
199,Hall H,HS4.6,JV Micronics,--,Exhibitor,India,Picture,"Plot No. 413, Sector-68, IMT (Industrial Model Township, Haryana 121004"
200,Hall A,AS4.8,ZING TECHNOLOGIES,--,Exhibitor,India,Picture," A4, 3rd Floor, NGEF Anciellery Industrial Estate, ITPL Main Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
201,"Hall A, Hall A","AS1.2, AS1.1",Optimare India Private Limited,--,Exhibitor,India,Picture," CENTRUM PLAZA, 335A, Golf Course Rd, IILM Institute, Sector 53, Gurugram, Haryana 122002"
202,Hall B,BS5.4,VAR ELECTROCHEM PRIVATE LIMITED,--,Exhibitor,India,Picture,"P-201/3, Lane-V, Phase II, Sector-3, Cherlapalli, Hyderabad, Secunderabad, Telangana 500051"
203,Hall A,AS2.8,Quest Global Engineering Services Pvt Ltd,--,Exhibitor,India,Picture,"Quest Global, Shanghai – Minhang. Room No 7703 - 7705, Building 1, Pujiang Zhidi Boutique Business Park, NO 1239 Lianhang Road, Minhang District, Shanghai."
204,Hall C,CS1.8,Processware Systems Private Limited,--,Exhibitor,India,Picture," 33, Patalamma St, Basavanagudi, Bengaluru, Karnataka 560004"
205,Hall B,BR2.2c,CENTUM ELECTRONICS LIMITED,--,Exhibitor,India,Picture,"No. 44, KHB Industrial Area, Yelahanka New Town, Bengaluru - 560106, Karnataka, India"
206,Hall H,HS4.4,DSV AIR AND SEA PRIVATE LIMITED,--,Exhibitor,India,Picture,"1,8,384/385, 4/F, Gowra Grand Sardar Patel RD, Begumpet 500003 Hyderabad Telangana India"
207,Hall A,AS1.7,N K RF PRODUCTS AND SERVICES PVT LTD,--,Exhibitor,India,Picture," 2nd Cross Rd, Murugeshpalya, Bengaluru, Karnataka 560017"
208,Hall J,JR1.4,HENSOLDT AG,--,Exhibitor,Foreign,Picture,"Willy-Messerschmitt-Strasse 3, 82024 Taufkirchen, Germany"
209,CHALET,CHALET.32,2Heads Global Design Ltd,--,Exhibitor,Foreign,Picture,"SECOND FLOOR, REGATTA HOUSE, 69 HIGH STREET, MARLOW, ENGLAND, SL7 1AB"
210,Hall J,JR5.7A,Aviazapchast PLC,--,Exhibitor,Foreign,Picture,"48, Ivana Franko Street, Moscow, 121351, Russia"
211,Hall B,BS5.2,Ananya Cable Tech Private Limited,--,Exhibitor,India,Picture,"No 7, Trans Industrial Hub, 5th Main Rd, Phase 3, Peenya, Bengaluru, Karnataka 560058"
212,Hall C,CS3.4,MG SEATING SYSTEMS PRIVATE LIMITED,--,Exhibitor,India,Picture,"7th Floor, Office No. 701, HILL SIDE 45, near Amar MADHUBAN Tech Park, opposite AUDI Showroom, Baner, Pune, Maharashtra 411069"
213,"CHALET, Hall J","SCHALET.44A, JR5.1A",United Engine Corporation JSC,--,Exhibitor,Foreign,Picture,"Located at 108, Veena Killedar Inds Estate, 10/14 Pais Street, Byculla (W), Mumbai - 400011, India. "
214,Hall B,BS5.30,ELEKTRONIKLAB INDIA PVT LTD,--,Exhibitor,India,Picture," 10D, Masilamani St, T. Nagar, Chennai, Tamil Nadu 600017"
215,Hall C,CS1.11,Tarang Kinetics Pvt Ltd,--,Exhibitor,India,Picture,"TARANG KINETICS (P) LTD. C-20, Industrial Estate, Roorkee, Uttarakhand 247667"
216,Hall H,HR1.4,Aeroarc Private Limited,--,Exhibitor,India,Picture,"LCS C6, Plot 5, Pocket 6, Sector C, Vasant Kunj, New Delhi, Delhi 110070"
217,CHALET,CHALET.37,Bharat Forge Ltd,--,Exhibitor,India,Picture,"The Platina, Gachibowli - Miyapur Rd, Building, Jayabheri Enclave, Gachibowli, Hyderabad, Telangana 500032"
218,Hall A,AR7.3b,Azad Engineering Limited,--,Exhibitor,India,Picture,"I, 90, D 90/C, Shapur Nagar Main Rd, Phase 1, IDA Jeedimetla, Chinthal, Jeedimetla, Hyderabad, Telangana 500055"
219,Hall F,FS3.10,VAL-MET Engineering Pvt Ltd,--,Exhibitor,India,Picture,"PLOT NO. 110, Sipcot Jct Rd, Pappankuppam, Tamil Nadu 601201"
220,Hall K,KS5.2,INDO WINGS PRIVATE LIMITED,--,Exhibitor,India,Picture," A-21, Block A, Sector 60, Noida, Uttar Pradesh 201309"
221,Hall H,HR5.2,Tata Advanced Systems Limited,--,Exhibitor,India,Picture," Hardware Park, Plot No. 21, Sy No. 1/1, Imarat Kancha Raviryala village Maheshwaram Mandal, Telangana 501218"
222,Hall F,FR5.1,AVIRONIX PRIVATE LIMITED,TamilNadu Industrial Development Corporation Limited,Co-Exhibitor,India,Picture,"Prashanti Nagar, IDA Kukatpally, Kukatpally, Hyderabad, Telangana 500071"
223,Hall K,KR4.4B,LEACH INTERNATIONAL EUROPE SAS,--,Exhibitor,Foreign,Picture," 2 Rue Goethe, 57430 Sarralbe, France"
224,Hall J,JS3.2,Orbit Communication Systems,--,Exhibitor,Foreign,Picture," SRI SAI NILAYAM , 3-454/1&2 , RAVINDRANAGAR COLONY Opp lane to Kaveri wood, Gopi Krishna colony, Nagaram, Hyderabad, Telangana 500083"
225,"CHALET, Hall E","CHALET.10, ER1.1",Karnataka Udyog Mitra,--,Exhibitor,India,Picture,"3rd Floor, Khanija Bhavan, 49, Race Course Rd, East Wing, Racecourse, Gandhi Nagar, Bengaluru, Karnataka 560001"
226,Hall C,CS2.2,ALLTRONIX,--,Exhibitor,India,Picture,"C 340, 6th Cross, Phase -1, Peenya, Bengaluru, Karnataka 560058"
227,Hall F,FS3.4,Jayasuriya Aero Private Limited,--,Exhibitor,India,Picture,"""SAKTHI AERO GARDEN"" 23, VENGADAMANGALAM MAIN ROAD, VENGADAMANGALAM, PONMAR, Chennai, Tamil Nadu 600127"
228,Hall G,GS3.4,Tecnomic Components Pvt Ltd,--,Exhibitor,India,Picture,"Carlton Towers, 111~ 114 ,1st Floor, A' Wing, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560008"
229,"Hall C, Hall C, Hall C","CS1.5, CS1.6, CS1.7",WAVE MECHANICS PRIVATE LIMTIED,--,Exhibitor,India,Picture," V 3, 1st Main Rd, 1st Stage, Peenya, Bengaluru, Karnataka 560058"
230,Hall A,AS3.1,Pushpak Aerospace India Pvt Ltd,--,Exhibitor,India,Picture," pushpak techno park 22-E1&E2, Bidadi, Karnataka 562109"
231,Hall C,CS2.9,AMAR RADIO CORPORATION,--,Exhibitor,India,Picture,"73/19/5, Ashokapuram Main Road, Yeshwanthpur Industrial Suburb, Bengaluru, Karnataka, 560022, India"
232,"Hall G, Hall G","GR5.1, GS1.7",Alpha Design Technologies Pvt Ltd,--,Exhibitor,India,Picture,"# 9, Service Road, HAL II Stage, Indiranagar, Bangalore, Karnataka, India, 560008"
233,Hall F,FS3.14,Aitech Innovations India Pvt Ltd,--,Exhibitor,India,Picture,"Salarpuria Infinity, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029"
234,Hall A,AS1.12,Rotary Electronics,--,Exhibitor,India,Picture,"No. 18, 5th Cross, 4th Stage, West of Chord Road, Rajajinagar Industrial Town, Bengaluru, 560044"
235,"Hall F, Hall F","FR4.2, FR4.3",LOTUS ADVANCE TECHNOLOGIES PRIVATE LIMITED,--,Exhibitor,India,Picture," 3rd Floor, Plot No 332, Udyog Vihar, Phase-IV, Gurugram, Haryana-122015"
236,Hall E,ER3.2,MUNITIONS INDIA LIMITED,--,Exhibitor,India,Picture,"2nd Floor, Nyati Unitree, Nagar Rd, Blue Hill Society, Yerawada, Pune, Maharashtra 411006"
237,Hall J,JS3.3,DAVI,--,Exhibitor,Foreign,Picture,"Plot No. WZ-3426-A, SHAKURPUR, Rani Bagh, Delhi"
238,Hall J,JR5.2,ELETTRONICA SPA,--,Exhibitor,Foreign,Picture,"Via Tiburtina Valeria Km 13,700, 00131, Rome, Italy"
239,Hall B,BS5.20,LUREK ENGINEERING VENTURES PRIVATE LIMITED,--,Exhibitor,India,Picture,"104/A, Bhattaramarenahalli, Channarayapatana Hobli, Budigere, Hoskote, Bangalore Rural, Karnataka, India - 562129"
240,Hall C,CS2.5,AMADO TOOLS,--,Exhibitor,India,Picture," VJXP+875, Bandepalya, Garvebhavi Palya, Bengaluru, Karnataka 560068"
241,Hall A,AS3.5,Varchas Aerospace Pvt Ltd,--,Exhibitor,India,Picture,"Level 10, Raheja Towers, Mahatma Gandhi Road, Bengaluru, Karnataka 560001"
242,Hall J,JS4.3,Iconnexion Asia pte ltd,--,Exhibitor,Foreign,Picture,"3 Ang Mo Kio Street 62, #04-18 Link@AMK, Singapore 569139"
243,Hall K,KS2.1,Bluechip Infocorp Private Limited,--,Exhibitor,India,Picture,"A-405, 4th, Empire Business Hub, Science City Rd, Sola, Ahmedabad, Gujarat 380060"
244,CHALET,SCHALET.43B,Samtel Avionics Limited,--,Exhibitor,India,Picture,"1212, 12th Floor, 43 Chiranjiv Tower, Nehru Place, New Delhi, Delhi, India, 110019"
245,"Hall E, CHALET, CHALET, Outdoor","ER4.1, SCHALET.42A, SCHALET.43A, OD-3",Bharat Electronics Limited,--,Exhibitor,India,Picture," CHRJ+56J, Nacharam - Mallapur Rd, Industrial Development Area, IDA Mallapur, Hyderabad, Secunderabad, Telangana 500076"
246,Hall F,FS4.1,SENWELL EXPORTS PRIVATE LIMITED,--,Exhibitor,India,Picture," Gat No- 620/2, Wagholi - Rahu Rd, near HIGH CLIFF INDUSTRIAL ESTATE, Kesnand, Maharashtra 412207"
247,Hall C,CS3.5,Nalwa Aero Pvt Ltd,--,Exhibitor,India,Picture,"E-237, 2ND FLOOR, PHASE-8B, INDUSTRIAL AREA, Chandigarh Sector 71, Rupnagar, S.A.S.Nagar (Mohali), Punjab, India, 160071"
248,Hall F,FS3.7,Z Forge,--,Exhibitor,India,Picture,"B20B, SIDCO-II, Sipcot Ph. I, Hosur, Tamil Nadu 635126"
249,Hall H,HS3.5,Aaviza Electronics Private Limited,--,Exhibitor,India,Picture,"Survey No. 8, Khatha No. 3, Vijinapura Extension, Doorvaninagar, Bangalore, Karnataka 560016, India"
250,Hall K,KR4.3,GARG ASSOCIATES PRIVATE LIMITED.,VEER-O-METALS PRIVATE LIMITED,Co-Exhibitor,India,Picture,"D 3, Meerut Rd Industrial Area, Sector 21, Meerut Road Industrial Area, Ghaziabad, Uttar Pradesh 201001"
251,Hall H,HS3.6,Aeron Systems Pvt Ltd,--,Exhibitor,India,Picture," Plot No.7, Lane Number 5, behind D Mart, Laxman Nagar, Balewadi, Pune, Maharashtra 411045"
252,Hall K,KR4.6,Dexcel Electronics Designs Pvt Ltd,--,Exhibitor,India,Picture,"Level 3 & 4, Maruthi Towers, Kodihalli, 138, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560008"
253,Hall H,HS4.5,DCM Shriram Industries Ltd,--,Exhibitor,India,Picture,"Kanchenjunga Building, 5th Floor, 18 Barakhamba Road, New Delhi - 110001, India"
254,Hall H,HR1.1,Avinash Kanchara,--,Exhibitor,India,Picture,No
255,Hall K,KS2.7,Tonbo Imaging India Private Limited,--,Exhibitor,India,Picture,"NO-3, Chikkayellappa Tower-II, 1st C Main, Sarjapur Main Road, Jakkasandra Extn, Bengaluru, 560034, India"
256,Hall K,KS3.3,Turbo India Interconnect Solutions LLP,--,Exhibitor,India,Picture," No 114, Govindaraja Nagar Ward, Pete Channappa Industrial Estate, Kamakshipalya, Bengaluru, Karnataka 560079"
257,Hall F,FR5.6,VINVELI Automated Systems Pvt Ltd,TamilNadu Industrial Development Corporation Limited,Co-Exhibitor,India,Picture," 27A Mudaliyar street, Chittode (TP), Erode (TK), Tamil Nadu, India, 638102"
258,Hall D,DR8,CSIR-NATIONAL AEROSPACE LABORATORIES,--,Exhibitor,India,Picture,"HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560017"
259,Hall F,FS3.8,ROOTS INDUSTRIES INDIA PVT LTD,--,Exhibitor,India,Picture,"Central Reserve Police Force Rd, Thoppampatti, Kathir Naickenpalayam, K. Vadamadurai, Coimbatore, Tamil Nadu 641017"
260,Hall B,BR3.3,THALES,GIFAS,Co-Exhibitor,Foreign,Picture,"9HP4+W6X, Laxmi Narayan Nagar Colony, Ramanthapur, Hyderabad, Telangana 500039"
261,Hall J,JS4.5,FDH Aero,--,Exhibitor,Foreign,Picture,"5200 Sheila St, Commerce, CA 90040, United States"
262,Hall F,FR5.5,Garuda Aerospace Private Limited,TamilNadu Industrial Development Corporation Limited,Co-Exhibitor,India,Picture," A-38, MIG, Lane Number 2, Indian Airlines Colony, Patigadda, Begumpet, Hyderabad, Telangana 500003"
263,Hall H,HS4.7,Medha Servo Drives Pvt. Ltd.,--,Exhibitor,India,Picture,": 2-3-2/A, Behind Mint Compound, Cherlapalli, Hyderabad, Telangana 500051"
264,Hall F,FS3.9,HILD Defence and Aerospace Private Limited,--,Exhibitor,India,Picture,"25, Greams Rd, Thousand Lights East, Thousand Lights, Chennai, Tamil Nadu 600006"
265,Hall G,GS1.2,Uni Tritech Private Limited,--,Exhibitor,India,Picture,"582A, Belur Industrial Area, Dharwad, Karnataka 580011"
266,Hall F,FS3.13,Thermovac Aerospace Pvt. Ltd.,--,Exhibitor,India,Picture," Plot No.548, Sompura 2nd Stage, Beeragondanahalli, Thyamagundulu, Nelamangala, Karnataka 562111"
267,"Hall E, CHALET, CHALET, CHALET, CHALET, Hall J","ER5.1, CHALET.13, CHALET.14, CHALET.15, CHALET.16, JR2.5",Indian Air Force,--,Exhibitor,India,Picture,"Air Headquarters (Vayu Bhawan), Motilal Nehru Marg, New Delhi - 110106"
268,"CHALET, Hall J","CHALET.36, JR5.1D",UNITED AIRCRAFT CORPORATION (UAC),--,Exhibitor,Foreign,Picture,"Ulansky Pereulok 22 bld.1, Moscow, 101000, Russia"
269,Hall D,DR7,Electronics Corporation of India Limited,--,Exhibitor,India,Picture," FH8G+VQV, ECIL, Swamik Nagar, A. S. Rao Nagar, Hyderabad, Secunderabad, Telangana 500062"
270,Hall K,KR4.2,AMETEK INSTRUMENTS INDIA PRIVATE LIMITED,--,Exhibitor,India,Picture,"Bhoruka Tech Park 3rd & 4th Floor Hoody Village, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048"
